REGIÃO;UF;DESTINATARIO;LOCALIDADE;ITEM;PROGRAMA DE SAÚDE;QUANTIDADE;STATUS;DATA DE ENTREGA; VALOR UNITÁRIO  ; VALOR TOTAL  
SUL ;RIO GRANDE DO SUL ;SMS;MARATÁ ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA;18/08/2020; R$-    ; R$-   
SUL ;RIO GRANDE DO SUL ;SMS;HARMONIA ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1.000;ENTREGA REALIZADA;18/08/2020; R$-    ; R$-   
SUL ;RIO GRANDE DO SUL ;SMS;CAPELA DE SANTANA;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;2.000;ENTREGA REALIZADA;18/08/2020; R$-    ; R$-   
SUL ;RIO GRANDE DO SUL ;SMS;BROCHIER;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA ;28/09/2020; R$-    ; R$-   
SUL ;PARANÁ ;SMS;CAMBÉ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA ;18/08/2020; R$-    ; R$-   
SUL ;PARANÁ ;SMS;LONDRINA;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1.500;ENTREGA REALIZADA ;18/08/2020; R$-    ; R$-   
CENTRO-OESTE;MATO GROSSO ;SMS;NOVA MARINGÁ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA;21/08/2020; R$-    ; R$-   
CENTRO-OESTE;MATO GROSSO ;SMS;VALE DE SÃO DOMINGOS ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA ;08/09/2020; R$-    ; R$-   
CENTRO-OESTE;MATO GROSSO ;SMS;SANTA RITA DO TRIVELATO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA;21/08/2020; R$-    ; R$-   
CENTRO-OESTE;MATO GROSSO ;SMS;SALTO DO CÉU ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA;20/08/2020; R$-    ; R$-   
CENTRO-OESTE;MATO GROSSO ;SMS;RONDOLÂNDIA;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA;25/08/2020; R$-    ; R$-   
CENTRO-OESTE;MATO GROSSO ;SMS;RESERVA DO CABAÇAL;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA;20/08/2020; R$-    ; R$-   
CENTRO-OESTE;MATO GROSSO ;SMS;TAPURAH ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;2.000;ENTREGA REALIZADA ;28/08/2020; R$-    ; R$-   
CENTRO-OESTE;MATO GROSSO ;SMS;SANTA CARMEM ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1.000;ENTREGA REALIZADA ;31/08/2020; R$-    ; R$-   
CENTRO-OESTE;MATO GROSSO ;SMS;PORTO ESPIRIDIÃO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1.500;ENTREGA REALIZADA ;27/08/2020; R$-    ; R$-   
CENTRO-OESTE;MATO GROSSO ;SMS;UBIRATÃ ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1.000;ENTREGA REALIZADA ;31/08/2020; R$-    ; R$-   
CENTRO-OESTE;MATO GROSSO ;SMS;NOVA MUTUM ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;5.000;ENTREGA REALIZADA ;27/08/2020; R$-    ; R$-   
CENTRO-OESTE;MATO GROSSO ;SMS;NOVA LACERDA ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1.500;ENTREGA REALIZADA ;27/08/2020; R$-    ; R$-   
CENTRO-OESTE;MATO GROSSO ;SMS;MIRASOL D'OESTE;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1.000;ENTREGA REALIZADA ;27/08/2020; R$-    ; R$-   
CENTRO-OESTE;MATO GROSSO ;SMS;BELA SANTÍSSIMA TRINDADE;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;4.000;ENTREGA REALIZADA ;28/08/2020; R$-    ; R$-   
CENTRO-OESTE;MATO GROSSO ;SMS;ITANHANGÁ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA ;28/08/2020; R$-    ; R$-   
CENTRO-OESTE;MATO GROSSO ;SMS;GLORIA D'OESTE;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA ;28/08/2020; R$-    ; R$-   
CENTRO-OESTE;MATO GROSSO ;SMS;FELIZ NATAL;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;2.000;ENTREGA REALIZADA ;04/09/2020; R$-    ; R$-   
CENTRO-OESTE;MATO GROSSO ;SMS;CLÁUDIA;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;4.500;ENTREGA REALIZADA ;28/08/2020; R$-    ; R$-   
SUDESTE;MINAS GERAIS ;SMS;MONTES CLAROS ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;28.500;ENTREGA REALIZADA ;02/09/2020; R$-    ; R$-   
SUDESTE;MINAS GERAIS ;SMS;VIÇOSA;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;4.500;ENTREGA REALIZADA;24/08/2020; R$-    ; R$-   
CENTRO-OESTE;GOIÁS;SMS;PORONGATU ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1.500;ENTREGA REALIZADA ;24/08/2020; R$-    ; R$-   
CENTRO-OESTE;GOIÁS;SMS;AVELINÓPOLIS;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;500;ENTREGA REALIZADA;31/08/2020; R$-    ; R$-   
NORDESTE;BAHIA ;SMS;JEQUIÉ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;13.500;ENTREGA REALIZADA;25/08/2020; R$-    ; R$-   
NORDESTE;BAHIA ;SMS;VITÓRIA DA CONQUISTA;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;50.000;ENTREGA REALIZADA;25/08/2020; R$-    ; R$-   
NORDESTE;BAHIA ;SMS;ITAPETINGA ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;9.000;ENTREGA REALIZADA;24/08/2020; R$-    ; R$-   
NORDESTE;ALAGOAS;SMS;CAMPO ALEGRE ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;5.500;ENTREGA REALIZADA;24/08/2020; R$-    ; R$-   
NORTE;ACRE;SES;ACRE;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;5.000;ENTREGA REALIZADA;31/03/2020; R$0,069 ; R$345,00 
NORTE;ACRE;SES;ACRE;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;5.000;ENTREGA REALIZADA;18/04/2020; R$-    ; R$-   
NORTE;ACRE;SES;ACRE;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;8.000;ENTREGA REALIZADA;15/05/2020; R$-    ; R$-   
NORTE;ACRE;SES;ACRE;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;79.000;ENTREGA REALIZADA;14/06/2020; R$0,069 ; R$5.451,00 
NORTE;ACRE;SES;ACRE;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;79.000;ENTREGA REALIZADA;07/08/2020; R$-    ; R$-   
NORTE;ACRE;SMS;RIO BRANCO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;15.000;ENTREGA REALIZADA;07/08/2020; R$-    ; R$-   
NORDESTE;ALAGOAS;SMS;MACEIÓ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;30.000;ENTREGA REALIZADA;20/07/2020; R$-    ; R$-   
NORDESTE;ALAGOAS ;SES;ALAGOAS ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;2.500;ENTREGA REALIZADA;30/03/2020; R$0,069 ; R$172,50 
NORDESTE;ALAGOAS ;SES;ALAGOAS ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;5.000;ENTREGA REALIZADA;27/04/2020; R$-    ; R$-   
NORDESTE;ALAGOAS ;SES;ALAGOAS ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;24.000;ENTREGA REALIZADA;05/05/2020; R$0,069 ; R$1.656,00 
NORDESTE;ALAGOAS ;SES;ALAGOAS ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;380.500;ENTREGA REALIZADA;05/06/2020; R$0,069 ; R$26.254,50 
NORTE;AMAPÁ;SES;AMAPÁ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;2.000;ENTREGA REALIZADA;31/03/2020; R$0,069 ; R$138,00 
NORTE;AMAPÁ;SES;AMAPÁ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;10.000;ENTREGA REALIZADA;22/04/2020; R$-    ; R$-   
NORTE;AMAPÁ;SES;AMAPÁ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;25.000;ENTREGA REALIZADA;20/05/2020; R$-    ; R$-   
NORTE;AMAPÁ;SES;AMAPÁ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;73.500;ENTREGA REALIZADA;10/06/2020; R$0,069 ; R$5.071,50 
NORTE;AMAZONAS;SES;AMAZONAS ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;11.000;ENTREGA REALIZADA;31/03/2020; R$0,069 ; R$759,00 
NORTE;AMAZONAS;SES;AMAZONAS ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;50.000;ENTREGA REALIZADA;16/04/2020; R$-    ; R$-   
NORTE;AMAZONAS;SES;AMAZONAS ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;110.000;ENTREGA REALIZADA;04/05/2020; R$-    ; R$-   
NORTE;AMAZONAS;SES;AMAZONAS ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;200.000;ENTREGA REALIZADA;04/06/2020; R$0,069 ; R$13.800,00 
NORTE;AMAZONAS;SMS;MANAUS;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;10.000;ENTREGA REALIZADA;28/07/2020; R$-    ; R$-   
NORDESTE;BAHIA ;SMS;PORTO SEGURO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;40.000;ENTREGA REALIZADA;29/06/2020; R$0,069 ; R$2.760,00 
NORDESTE;BAHIA ;SES;BAHIA ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;17.000;ENTREGA REALIZADA;30/03/2020; R$0,069 ; R$1.173,00 
NORDESTE;BAHIA ;SES;BAHIA ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;24.000;ENTREGA REALIZADA;27/04/2020; R$-    ; R$-   
NORDESTE;CEARÁ;SES;CEARÁ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;50.000;ENTREGA REALIZADA;24/07/2020; R$-    ; R$-   
NORDESTE;CEARÁ;SES;CEARÁ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;40.000;ENTREGA REALIZADA;28/03/2020; R$0,069 ; R$2.760,00 
NORDESTE;CEARÁ;SES;CEARÁ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;60.000;ENTREGA REALIZADA;24/04/2020; R$-    ; R$-   
NORDESTE;CEARÁ;SES;CEARÁ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;202.000;ENTREGA REALIZADA;02/05/2020; R$0,069 ; R$13.938,00 
CENTRO-OESTE;DISTRITO FEDERAL ;SES;DISTRITO FEDERAL ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;32.000;ENTREGA REALIZADA;29/03/2020; R$0,069 ; R$2.208,00 
CENTRO-OESTE;DISTRITO FEDERAL ;SES;DISTRITO FEDERAL ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;19.000;ENTREGA REALIZADA;22/04/2020; R$-    ; R$-   
CENTRO-OESTE;DISTRITO FEDERAL ;SES;DISTRITO FEDERAL ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;21.000;ENTREGA REALIZADA;04/05/2020; R$0,069 ; R$1.449,00 
SUDESTE;ESPÍRITO SANTO;SES;ESPÍRITO SANTO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;40.000;ENTREGA REALIZADA;17/07/2020; R$-    ; R$-   
SUDESTE;ESPÍRITO SANTO;SMS;VITÓRIA;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;54.000;ENTREGA REALIZADA;17/07/2020; R$-    ; R$-   
SUDESTE;ESPÍRITO SANTO;SES;ESPÍRITO SANTO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;8.000;ENTREGA REALIZADA;28/03/2020; R$0,069 ; R$552,00 
SUDESTE;ESPÍRITO SANTO;SES;ESPÍRITO SANTO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;14.000;ENTREGA REALIZADA;22/04/2020; R$-    ; R$-   
SUDESTE;ESPÍRITO SANTO;SES;ESPÍRITO SANTO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;56.000;ENTREGA REALIZADA;04/05/2020; R$0,069 ; R$3.864,00 
CENTRO-OESTE;GOIÁS;SES;GOIÁS;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;25.000;ENTREGA REALIZADA;20/07/2020; R$-    ; R$-   
CENTRO-OESTE;GOIÁS;SES;GOIÁS;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;6.000;ENTREGA REALIZADA;30/03/2020; R$0,069 ; R$414,00 
CENTRO-OESTE;GOIÁS;SES;GOIÁS;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;8.000;ENTREGA REALIZADA;21/04/2020; R$-    ; R$-   
CENTRO-OESTE;GOIÁS;SES;GOIÁS;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;15.000;ENTREGA REALIZADA;05/06/2020; R$0,069 ; R$1.035,00 
NORDESTE;MARANHÃO ;SES;MARANHÃO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;2.000;ENTREGA REALIZADA;27/03/2020; R$0,069 ; R$138,00 
NORDESTE;MARANHÃO ;SES;MARANHÃO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;16.000;ENTREGA REALIZADA;27/04/2020; R$-    ; R$-   
NORDESTE;MARANHÃO ;SES;MARANHÃO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;80.000;ENTREGA REALIZADA;04/05/2020; R$0,069 ; R$5.520,00 
NORDESTE;MARANHÃO ;SES;MARANHÃO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;180.000;ENTREGA REALIZADA;12/06/2020; R$0,069 ; R$12.420,00 
CENTRO-OESTE;MATO GROSSO ;SES;MATO GROSSO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;10.000;ENTREGA REALIZADA;22/07/2020; R$-    ; R$-   
CENTRO-OESTE;MATO GROSSO ;SMS;CUIABÁ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;9.000;ENTREGA REALIZADA;23/07/2020; R$-    ; R$-   
CENTRO-OESTE;MATO GROSSO ;SES;MATO GROSSO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;80.000;ENTREGA REALIZADA;29/07/2020; R$0,069 ; R$5.520,00 
CENTRO-OESTE;MATO GROSSO ;SES;MATO GROSSO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;3.000;ENTREGA REALIZADA;29/03/2020; R$0,069 ; R$207,00 
CENTRO-OESTE;MATO GROSSO ;SES;MATO GROSSO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;6.000;ENTREGA REALIZADA;24/04/2020; R$-    ; R$-   
CENTRO-OESTE;MATO GROSSO ;SES;MATO GROSSO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;6.000;ENTREGA REALIZADA;04/05/2020; R$0,069 ; R$414,00 
CENTRO-OESTE;MATO GROSSO DO SUL;SMS;CAMPO GRANDE;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;15.000;ENTREGA REALIZADA;21/07/2020; R$-    ; R$-   
CENTRO-OESTE;MATO GROSSO DO SUL;SES;MATO GROSSO DO SUL ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;15.000;ENTREGA REALIZADA;21/07/2020; R$-    ; R$-   
CENTRO-OESTE;MATO GROSSO DO SUL;SMS;CAMPO GRANDE;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;10.000;ENTREGA REALIZADA;07/07/2020; R$0,069 ; R$690,00 
CENTRO-OESTE;MATO GROSSO DO SUL;SES;MATO GROSSO DO SUL ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;5.000;ENTREGA REALIZADA;29/03/2020; R$0,069 ; R$345,00 
CENTRO-OESTE;MATO GROSSO DO SUL;SES;MATO GROSSO DO SUL ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;5.000;ENTREGA REALIZADA;24/04/2020; R$-    ; R$-   
CENTRO-OESTE;MATO GROSSO DO SUL;SES;MATO GROSSO DO SUL ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;6.000;ENTREGA REALIZADA;05/05/2020; R$0,069 ; R$414,00 
SUDESTE;MINAS GERAIS ;SES;MINAS GERAIS ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;27.000;ENTREGA REALIZADA;30/03/2020; R$0,069 ; R$1.863,00 
SUDESTE;MINAS GERAIS ;SES;MINAS GERAIS ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;27.000;ENTREGA REALIZADA;23/04/2020; R$-    ; R$-   
SUDESTE;MINAS GERAIS ;SES;MINAS GERAIS ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;31.000;ENTREGA REALIZADA;04/05/2020; R$0,069 ; R$2.139,00 
NORTE;PARÁ;SES;PARÁ ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;5.000;ENTREGA REALIZADA;28/03/2020; R$0,069 ; R$345,00 
NORTE;PARÁ;SES;PARÁ ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;10.000;ENTREGA REALIZADA;22/04/2020; R$-    ; R$-   
NORTE;PARÁ;SES;PARÁ ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;200.000;ENTREGA REALIZADA;02/05/2020; R$0,069 ; R$13.800,00 
NORTE;PARÁ;SES;PARÁ ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;224.000;ENTREGA REALIZADA;04/06/2020; R$0,069 ; R$15.456,00 
NORTE;PARÁ;SES;PARÁ ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;100.000;ENTREGA REALIZADA;03/08/2020; R$-    ; R$-   
NORDESTE;PARAÍBA;SES;PARAÍBA;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;2.000;ENTREGA REALIZADA;30/03/2020; R$0,069 ; R$138,00 
NORDESTE;PARAÍBA;SES;PARAÍBA;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;5.000;ENTREGA REALIZADA;23/04/2020; R$-    ; R$-   
NORDESTE;PARAÍBA;SES;PARAÍBA;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;18.000;ENTREGA REALIZADA;07/05/2020; R$0,069 ; R$1.242,00 
NORDESTE;PARAÍBA;SES;PARAÍBA;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;50.000;ENTREGA REALIZADA;05/06/2020; R$0,069 ; R$3.450,00 
SUL;PARANÁ ;SES;PARANÁ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;17.000;ENTREGA REALIZADA;28/03/2020; R$0,069 ; R$1.173,00 
SUL;PARANÁ ;SES;PARANÁ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;27.000;ENTREGA REALIZADA;23/04/2020; R$-    ; R$-   
SUL;PARANÁ ;SES;PARANÁ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;18.000;ENTREGA REALIZADA;02/05/2020; R$0,069 ; R$1.242,00 
NORDESTE;PERNAMBUCO;SMS;RECIFE;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;1.500;ENTREGA REALIZADA;17/07/2020; R$-    ; R$-   
NORDESTE;PERNAMBUCO;SES;PERNAMBUCO;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;10.000;ENTREGA REALIZADA;28/03/2020; R$0,069 ; R$690,00 
NORDESTE;PERNAMBUCO;SES;PERNAMBUCO;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;37.000;ENTREGA REALIZADA;23/04/2020; R$-    ; R$-   
NORDESTE;PERNAMBUCO;SES;PERNAMBUCO;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;176.000;ENTREGA REALIZADA;02/05/2020; R$0,069 ; R$12.144,00 
NORDESTE;PIAUÍ;SMS;TERESINA;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;4.500;ENTREGA REALIZADA;17/07/2020; R$-    ; R$-   
NORDESTE;PIAUÍ;SES;PIAUÍ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;2.000;ENTREGA REALIZADA;30/03/2020; R$0,069 ; R$138,00 
NORDESTE;PIAUÍ;SES;PIAUÍ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;5.000;ENTREGA REALIZADA;27/04/2020; R$-    ; R$-   
NORDESTE;PIAUÍ;SES;PIAUÍ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;13.000;ENTREGA REALIZADA;06/05/2020; R$0,069 ; R$897,00 
NORDESTE;PIAUÍ;SES;PIAUÍ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;10.000;ENTREGA REALIZADA;06/06/2020; R$0,069 ; R$690,00 
SUDESTE;RIO DE JANEIRO;SES;RIO DE JANEIRO;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;74.000;ENTREGA REALIZADA;28/03/2020; R$0,069 ; R$5.106,00 
SUDESTE;RIO DE JANEIRO;SES;RIO DE JANEIRO;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;100.000;ENTREGA REALIZADA;17/04/2020; R$-    ; R$-   
SUDESTE;RIO DE JANEIRO;SES;RIO DE JANEIRO;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;50.000;ENTREGA REALIZADA;06/05/2020; R$0,069 ; R$3.450,00 
NORDESTE;RIO GRANDE DO NORTE ;SES;RIO GRANDE DO NORTE ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;3.000;ENTREGA REALIZADA;30/03/2020; R$0,069 ; R$207,00 
NORDESTE;RIO GRANDE DO NORTE ;SES;RIO GRANDE DO NORTE ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;12.000;ENTREGA REALIZADA;27/04/2020; R$-    ; R$-   
NORDESTE;RIO GRANDE DO NORTE ;SES;RIO GRANDE DO NORTE ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;21.000;ENTREGA REALIZADA;06/05/2020; R$0,069 ; R$1.449,00 
NORDESTE;RIO GRANDE DO NORTE ;SES;RIO GRANDE DO NORTE ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;100.000;ENTREGA REALIZADA;08/06/2020; R$0,069 ; R$6.900,00 
NORDESTE;RIO GRANDE DO NORTE ;SES;RIO GRANDE DO NORTE ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;10.000;ENTREGA REALIZADA;16/07/2020; R$-    ; R$-   
SUL;RIO GRANDE DO SUL ;SES;RIO GRANDE DO SUL ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;323.500;ENTREGA REALIZADA;20/07/2020; R$-    ; R$-   
SUL;RIO GRANDE DO SUL ;SES;RIO GRANDE DO SUL ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;25.000;ENTREGA REALIZADA;31/03/2020; R$0,069 ; R$1.725,00 
SUL;RIO GRANDE DO SUL ;SES;RIO GRANDE DO SUL ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;22.000;ENTREGA REALIZADA;22/04/2020; R$-    ; R$-   
NORTE;RONDÔNIA;SES;RONDÔNIA;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;2.000;ENTREGA REALIZADA;31/03/2020; R$0,069 ; R$138,00 
NORTE;RONDÔNIA;SES;RONDÔNIA;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;5.000;ENTREGA REALIZADA;23/04/2020; R$-    ; R$-   
NORTE;RONDÔNIA;SES;RONDÔNIA;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;14.000;ENTREGA REALIZADA;11/05/2020; R$-    ; R$-   
NORTE;RONDÔNIA;SES;RONDÔNIA;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;50.000;ENTREGA REALIZADA;12/06/2020; R$0,069 ; R$3.450,00 
NORTE;RONDÔNIA;SES;RONDÔNIA;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;60.000;ENTREGA REALIZADA;07/08/2020; R$-    ; R$-   
NORTE;RONDÔNIA;SMS;PORTO VELHO ;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;40.000;ENTREGA REALIZADA;07/08/2020; R$-    ; R$-   
NORTE;RORAIMA ;SES;RORAIMA;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;2.000;ENTREGA REALIZADA;31/03/2020; R$0,069 ; R$138,00 
NORTE;RORAIMA ;SES;RORAIMA;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;5.000;ENTREGA REALIZADA;16/04/2020; R$-    ; R$-   
NORTE;RORAIMA ;SES;RORAIMA;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;13.000;ENTREGA REALIZADA;15/05/2020; R$-    ; R$-   
NORTE;RORAIMA ;SES;RORAIMA;DIFOSFATO DE CLOROQUINA 150MG;COVID-19;80.000;ENTREGA REALIZADA;05/06/2020; R$0,069 ; R$5.520,00 
